match_id,round,date,category,group,pitch,time,home_team,away_team,home_goals,away_goals,ingestion_date,result
40,1,19/01/2025,2016/2017,C,4,09:25,Naprzód Ryd.,Polonia 17B,5,4,2025-03-15 21:34:17.235714,HOME WIN
41,1,19/01/2025,2016/2017,C,3,09:50,Polonia 16B,Polonia 17B,3,2,2025-03-15 21:34:17.235714,HOME WIN
42,1,19/01/2025,2016/2017,C,4,09:50,Naprzód Ryd.,Polonia Lwy,3,0,2025-03-15 21:34:17.235714,HOME WIN
43,1,19/01/2025,2016/2017,D,3,10:30,UKS Talent,Active Janów,1,3,2025-03-15 21:34:17.235714,AWAY WIN
44,1,19/01/2025,2016/2017,D,4,10:30,Polonia 16C,FA Sosnowiec,2,2,2025-03-15 21:34:17.235714,DRAW
45,1,19/01/2025,2016/2017,D,3,10:55,UKS Talent,Polonia 16C,2,1,2025-03-15 21:34:17.235714,HOME WIN
46,1,19/01/2025,2016/2017,D,4,10:55,Active Janów,FA Sosnowiec,1,1,2025-03-15 21:34:17.235714,DRAW
47,1,19/01/2025,2016/2017,D,3,11:20,UKS Talent,FA Sosnowiec,4,3,2025-03-15 21:34:17.235714,HOME WIN
48,1,19/01/2025,2016/2017,D,4,11:20,Active Janów,Polonia 16C,2,0,2025-03-15 21:34:17.235714,HOME WIN
49,2,26/01/2025,2014/2015,A,1,12:00,Korona Dąbrowa,Skra Częstochowa,1,1,2025-03-15 21:34:17.235714,DRAW
50,2,26/01/2025,2014/2015,A,2,12:00,FA Sosnowiec,UKS Talent,2,2,2025-03-15 21:34:17.235714,DRAW
51,2,26/01/2025,2014/2015,A,1,12:25,Korona Dąbrowa,FA Sosnowiec,0,0,2025-03-15 21:34:17.235714,DRAW
52,2,26/01/2025,2014/2015,A,2,12:25,Skra Częstochowa,UKS Talent,10,0,2025-03-15 21:34:17.235714,HOME WIN
53,2,26/01/2025,2014/2015,A,1,12:50,Korona Dąbrowa,UKS Talent,1,0,2025-03-15 21:34:17.235714,HOME WIN
54,2,26/01/2025,2014/2015,A,2,12:50,Skra Częstochowa,FA Sosnowiec,12,2,2025-03-15 21:34:17.235714,HOME WIN
55,2,26/01/2025,2014/2015,B,1,13:30,Espanyola Gliwice,Active Janów,4,0,2025-03-15 21:34:17.235714,HOME WIN
56,2,26/01/2025,2014/2015,B,2,13:30,MTS Rybnik,Bumerang,3,0,2025-03-15 21:34:17.235714,HOME WIN
57,2,26/01/2025,2014/2015,B,1,13:55,Espanyola Gliwice,MTS Rybnik,2,2,2025-03-15 21:34:17.235714,DRAW
58,2,26/01/2025,2014/2015,B,2,13:55,Active Janów,Bumerang,0,1,2025-03-15 21:34:17.235714,AWAY WIN
59,2,26/01/2025,2014/2015,B,1,14:20,Espanyola Gliwice,Bumerang,3,2,2025-03-15 21:34:17.235714,HOME WIN
60,2,26/01/2025,2014/2015,B,2,14:20,Active Janów,MTS Rybnik,1,2,2025-03-15 21:34:17.235714,AWAY WIN
61,2,26/01/2025,2014/2015,C,3,12:00,Polonia Bytom A,Juventus A,0,4,2025-03-15 21:34:17.235714,AWAY WIN
62,2,26/01/2025,2014/2015,C,4,12:00,Strażak A,Polonia Bytom B,4,0,2025-03-15 21:34:17.235714,HOME WIN
63,2,26/01/2025,2014/2015,C,3,12:25,Polonia Bytom A,Strażak A,1,1,2025-03-15 21:34:17.235714,DRAW
64,2,26/01/2025,2014/2015,C,4,12:25,Juventus A,Polonia Bytom B,10,0,2025-03-15 21:34:17.235714,HOME WIN
65,2,26/01/2025,2014/2015,C,3,12:50,Polonia Bytom A,Polonia Bytom B,3,1,2025-03-15 21:34:17.235714,HOME WIN
66,2,26/01/2025,2014/2015,C,4,12:50,Juventus A,Strażak A,5,2,2025-03-15 21:34:17.235714,HOME WIN
67,2,26/01/2025,2014/2015,D,3,13:30,GKS Andaluzja,Polonia Lwy,0,3,2025-03-15 21:34:17.235714,AWAY WIN
68,2,26/01/2025,2014/2015,D,4,13:30,Juventus B,Strażak B,4,1,2025-03-15 21:34:17.235714,HOME WIN
69,2,26/01/2025,2014/2015,D,3,13:55,GKS Andaluzja,Juventus B,1,0,2025-03-15 21:34:17.235714,HOME WIN
70,2,26/01/2025,2014/2015,D,4,13:55,Polonia Lwy,Strażak B,4,2,2025-03-15 21:34:17.235714,HOME WIN
71,2,26/01/2025,2014/2015,D,3,14:20,GKS Andaluzja,Strażak B,3,2,2025-03-15 21:34:17.235714,HOME WIN
72,2,26/01/2025,2014/2015,D,4,14:20,Polonia Lwy,Juventus B,0,2,2025-03-15 21:34:17.235714,AWAY WIN
73,2,26/01/2025,2016/2017,A,1,09:00,Polonia 17A,GKS Szombierki A,1,1,2025-03-15 21:34:17.235714,DRAW
74,2,26/01/2025,2016/2017,A,2,09:00,Polonia 16A,Victoria Pilchowice,3,0,2025-03-15 21:34:17.235714,HOME WIN
75,2,26/01/2025,2016/2017,A,1,09:25,Polonia 17A,Polonia 16A,4,3,2025-03-15 21:34:17.235714,HOME WIN
76,2,26/01/2025,2016/2017,A,2,09:25,GKS Szombierki A,Victoria Pilchowice,0,4,2025-03-15 21:34:17.235714,AWAY WIN
77,2,26/01/2025,2016/2017,A,1,09:50,Polonia 17A,Victoria Pilchowice,7,1,2025-03-15 21:34:17.235714,HOME WIN
78,2,26/01/2025,2016/2017,A,2,09:50,GKS Szombierki A,Polonia 16A,2,2,2025-03-15 21:34:17.235714,DRAW
79,2,26/01/2025,2016/2017,B,3,09:00,APN GP Czeladź,Korona Dąbrowa,1,0,2025-03-15 21:34:17.235714,HOME WIN
80,2,26/01/2025,2016/2017,B,4,09:00,GKS Andaluzja,Polonia 16B,1,2,2025-03-15 21:34:17.235714,AWAY WIN
81,2,26/01/2025,2016/2017,B,3,09:25,APN GP Czeladź,GKS Andaluzja,6,0,2025-03-15 21:34:17.235714,HOME WIN
82,2,26/01/2025,2016/2017,B,4,09:25,Korona Dąbrowa,Polonia 16B,2,2,2025-03-15 21:34:17.235714,DRAW
83,2,26/01/2025,2016/2017,B,3,09:50,APN GP Czeladź,Polonia 16B,3,0,2025-03-15 21:34:17.235714,HOME WIN
84,2,26/01/2025,2016/2017,B,4,09:50,Korona Dąbrowa,GKS Andaluzja,6,0,2025-03-15 21:34:17.235714,HOME WIN
85,2,26/01/2025,2016/2017,C,1,10:30,GKS Szombierki B,Naprzód Ryd.,1,3,2025-03-15 21:34:17.235714,AWAY WIN
86,2,26/01/2025,2016/2017,C,2,10:30,Active Janów,UKS Talent,1,4,2025-03-15 21:34:17.235714,AWAY WIN
87,2,26/01/2025,2016/2017,C,1,10:55,GKS Szombierki B,Active Janów,0,3,2025-03-15 21:34:17.235714,AWAY WIN
88,2,26/01/2025,2016/2017,C,2,10:55,Naprzód Ryd.,UKS Talent,3,5,2025-03-15 21:34:17.235714,AWAY WIN
89,2,26/01/2025,2016/2017,C,1,11:20,GKS Szombierki B,UKS Talent,1,4,2025-03-15 21:34:17.235714,AWAY WIN
90,2,26/01/2025,2016/2017,C,2,11:20,Naprzód Ryd.,Active Janów,0,1,2025-03-15 21:34:17.235714,AWAY WIN
91,2,26/01/2025,2016/2017,D,3,10:30,Polonia 17B,Polonia Lwy,4,1,2025-03-15 21:34:17.235714,HOME WIN
92,2,26/01/2025,2016/2017,D,4,10:30,FA Sosnowiec,Polonia 16C,4,1,2025-03-15 21:34:17.235714,HOME WIN
93,2,26/01/2025,2016/2017,D,3,10:55,Polonia 17B,FA Sosnowiec,0,4,2025-03-15 21:34:17.235714,AWAY WIN
94,2,26/01/2025,2016/2017,D,4,10:55,Polonia Lwy,Polonia 16C,0,6,2025-03-15 21:34:17.235714,AWAY WIN
95,2,26/01/2025,2016/2017,D,3,11:20,Polonia 17B,Polonia 16C,3,4,2025-03-15 21:34:17.235714,AWAY WIN
96,2,26/01/2025,2016/2017,D,4,11:20,Polonia Lwy,FA Sosnowiec,0,10,2025-03-15 21:34:17.235714,AWAY WIN
97,3,09/02/2025,2014/2015,A,1,13:30,Skra Częstochowa,Korona Dąbrowa,1,0,2025-03-15 21:34:17.235714,HOME WIN
98,3,09/02/2025,2014/2015,A,2,13:30,Espanyola Gliwice,MTS Rybnik,1,2,2025-03-15 21:34:17.235714,AWAY WIN
99,3,09/02/2025,2014/2015,A,1,13:55,Skra Częstochowa,Espanyola Gliwice,4,1,2025-03-15 21:34:17.235714,HOME WIN
100,3,09/02/2025,2014/2015,A,2,13:55,Korona Dąbrowa,MTS Rybnik,0,2,2025-03-15 21:34:17.235714,AWAY WIN
101,3,09/02/2025,2014/2015,A,1,14:20,Skra Częstochowa,MTS Rybnik,2,1,2025-03-15 21:34:17.235714,HOME WIN
102,3,09/02/2025,2014/2015,A,2,14:20,Korona Dąbrowa,Espanyola Gliwice,4,0,2025-03-15 21:34:17.235714,HOME WIN
103,3,09/02/2025,2014/2015,B,1,12:00,FA Sosnowiec,UKS Talent,0,2,2025-03-15 21:34:17.235714,AWAY WIN
104,3,09/02/2025,2014/2015,B,2,12:00,Bumerang,Juventus A,0,0,2025-03-15 21:34:17.235714,DRAW
105,3,09/02/2025,2014/2015,B,1,12:25,FA Sosnowiec,Bumerang,0,1,2025-03-15 21:34:17.235714,AWAY WIN
106,3,09/02/2025,2014/2015,B,2,12:25,UKS Talent,Juventus A,1,4,2025-03-15 21:34:17.235714,AWAY WIN
107,3,09/02/2025,2014/2015,B,1,12:50,FA Sosnowiec,Juventus A,2,4,2025-03-15 21:34:17.235714,AWAY WIN
108,3,09/02/2025,2014/2015,B,2,12:50,UKS Talent,Bumerang,1,3,2025-03-15 21:34:17.235714,AWAY WIN
109,3,09/02/2025,2014/2015,C,3,12:00,Active Janów,Strażak A,0,1,2025-03-15 21:34:17.235714,AWAY WIN
110,3,09/02/2025,2014/2015,C,4,12:00,Juventus B,Polonia Lwy,0,2,2025-03-15 21:34:17.235714,AWAY WIN
111,3,09/02/2025,2014/2015,C,3,12:25,Active Janów,Juventus B,2,1,2025-03-15 21:34:17.235714,HOME WIN
112,3,09/02/2025,2014/2015,C,4,12:25,Strażak A,Polonia Lwy,2,4,2025-03-15 21:34:17.235714,AWAY WIN
113,3,09/02/2025,2014/2015,C,3,12:50,Active Janów,Polonia Lwy,2,2,2025-03-15 21:34:17.235714,DRAW
114,3,09/02/2025,2014/2015,C,4,12:50,Strażak A,Juventus B,4,1,2025-03-15 21:34:17.235714,HOME WIN
115,3,09/02/2025,2014/2015,D,3,13:30,Polonia Bytom A,Polonia Bytom B,5,1,2025-03-15 21:34:17.235714,HOME WIN
116,3,09/02/2025,2014/2015,D,4,13:30,GKS Andaluzja,Strażak B,4,0,2025-03-15 21:34:17.235714,HOME WIN
117,3,09/02/2025,2014/2015,D,3,13:55,Polonia Bytom A,GKS Andaluzja,3,2,2025-03-15 21:34:17.235714,HOME WIN
118,3,09/02/2025,2014/2015,D,4,13:55,Polonia Bytom B,Strażak B,1,4,2025-03-15 21:34:17.235714,AWAY WIN
119,3,09/02/2025,2014/2015,D,3,14:20,Polonia Bytom A,Strażak B,5,2,2025-03-15 21:34:17.235714,HOME WIN
120,3,09/02/2025,2014/2015,D,4,14:20,Polonia Bytom B,GKS Andaluzja,0,11,2025-03-15 21:34:17.235714,AWAY WIN
121,3,09/02/2025,2016/2017,A,1,09:00,Polonia 17A,Polonia 16A,1,0,2025-03-15 21:34:17.235714,HOME WIN
122,3,09/02/2025,2016/2017,A,2,09:00,APN GP Czeladź,Korona Dąbrowa,2,0,2025-03-15 21:34:17.235714,HOME WIN
123,3,09/02/2025,2016/2017,A,1,09:25,Polonia 17A,APN GP Czeladź,7,1,2025-03-15 21:34:17.235714,HOME WIN
124,3,09/02/2025,2016/2017,A,2,09:25,Polonia 16A,Korona Dąbrowa,2,1,2025-03-15 21:34:17.235714,HOME WIN
125,3,09/02/2025,2016/2017,A,1,09:50,Polonia 17A,Korona Dąbrowa,5,1,2025-03-15 21:34:17.235714,HOME WIN
126,3,09/02/2025,2016/2017,A,2,09:50,Polonia 16A,APN GP Czeladź,4,2,2025-03-15 21:34:17.235714,HOME WIN
127,3,09/02/2025,2016/2017,B,1,10:30,Victoria Pilchowice,GKS Szombierki A,0,1,2025-03-15 21:34:17.235714,AWAY WIN
128,3,09/02/2025,2016/2017,B,2,10:30,Polonia 16B,UKS Talent,0,3,2025-03-15 21:34:17.235714,AWAY WIN
129,3,09/02/2025,2016/2017,B,1,10:55,Victoria Pilchowice,Polonia 16B,2,2,2025-03-15 21:34:17.235714,DRAW
130,3,09/02/2025,2016/2017,B,2,10:55,GKS Szombierki A,UKS Talent,5,1,2025-03-15 21:34:17.235714,HOME WIN
131,3,09/02/2025,2016/2017,B,1,11:20,Victoria Pilchowice,UKS Talent,1,1,2025-03-15 21:34:17.235714,DRAW
132,3,09/02/2025,2016/2017,B,2,11:20,GKS Szombierki A,Polonia 16B,5,3,2025-03-15 21:34:17.235714,HOME WIN
133,3,09/02/2025,2016/2017,C,3,09:00,GKS Andaluzja,Active Janów,1,1,2025-03-15 21:34:17.235714,DRAW
134,3,09/02/2025,2016/2017,C,4,09:00,FA Sosnowiec,Polonia 16C,0,3,2025-03-15 21:34:17.235714,AWAY WIN
135,3,09/02/2025,2016/2017,C,3,09:25,GKS Andaluzja,FA Sosnowiec,2,4,2025-03-15 21:34:17.235714,AWAY WIN
136,3,09/02/2025,2016/2017,C,4,09:25,Active Janów,Polonia 16C,0,3,2025-03-15 21:34:17.235714,AWAY WIN
137,3,09/02/2025,2016/2017,C,3,09:50,GKS Andaluzja,Polonia 16C,1,2,2025-03-15 21:34:17.235714,AWAY WIN
138,3,09/02/2025,2016/2017,C,4,09:50,Active Janów,FA Sosnowiec,1,1,2025-03-15 21:34:17.235714,DRAW
139,3,09/02/2025,2016/2017,D,3,10:30,Naprzód Ryd.,GKS Szombierki B,7,0,2025-03-15 21:34:17.235714,HOME WIN
140,3,09/02/2025,2016/2017,D,4,10:30,Polonia 17B,Polonia Lwy,2,0,2025-03-15 21:34:17.235714,HOME WIN
141,3,09/02/2025,2016/2017,D,3,10:55,Naprzód Ryd.,Polonia 17B,3,1,2025-03-15 21:34:17.235714,HOME WIN
142,3,09/02/2025,2016/2017,D,4,10:55,GKS Szombierki B,Polonia Lwy,4,1,2025-03-15 21:34:17.235714,HOME WIN
143,3,09/02/2025,2016/2017,D,3,11:20,Naprzód Ryd.,Polonia Lwy,4,1,2025-03-15 21:34:17.235714,HOME WIN
144,3,09/02/2025,2016/2017,D,4,11:20,GKS Szombierki B,Polonia 17B,1,3,2025-03-15 21:34:17.235714,AWAY WIN
145,4,16/02/2025,2014/2015,A,1,12:00,Skra Częstochowa,MTS Rybnik,1,1,2025-03-15 21:34:17.235714,DRAW
146,4,16/02/2025,2014/2015,A,2,12:00,Juventus A,Bumerang,1,2,2025-03-15 21:34:17.235714,AWAY WIN
147,4,16/02/2025,2014/2015,A,1,12:25,Skra Częstochowa,Juventus A,5,1,2025-03-15 21:34:17.235714,HOME WIN
